"","FID_1","modelLessVarsPredictedNoLabels"
"1","NT/59399/15672","PGRS"
"2","NT/59532/17344","PGRS"
"3","NT/57871/18177","WW"
"4","NT/58299/14850","PGRS"
"5","NT/57841/15041","PGRS"
"6","NT/57316/17952","PGRS"
"7","NT/58699/17615","PGRS"
"8","NT/59602/15997","WBS"
"9","NT/58485/17835","PGRS"
"10","NT/59723/14940","SB"
"11","NT/58708/17905","PGRS"
"12","NT/59515/16742","PGRS"
"13","NT/59792/15902","PGRS"
"14","NT/56864/17534","WO"
"15","NT/58907/17528","PGRS"
"16","NT/59190/17918","PGRS"
"17","NT/59426/18372","PGRS"
"18","NT/56784/19244","WO"
"19","NT/59024/15156","PGRS"
"20","NT/59418/16374","PGRS"
"21","NT/59559/18041","PGRS"
"22","NT/58166/16802","PGRS"
"23","NT/58163/19163","WW"
"24","NT/58717/19842","PGRS"
"25","NT/58852/18031","PGRS"
"26","NT/57869/19129","PGRS"
"27","NT/59062/15338","PGRS"
"28","NT/57081/17662","WO"
"29","NT/57616/18709","PGRS"
"30","NT/58481/17693","PGRS"
"31","NT/58649/17745","PGRS"
"32","NT/58830/17987","PGRS"
"33","NT/56952/15144","PGRS"
"34","NT/56874/14866","PGRS"
"35","NT/59283/18131","PGRS"
"36","NT/58399/17991","PGRS"
"37","NT/56972/16899","PGRS"
"38","NT/59502/17687","SO"
"39","NT/58643/18518","SB"
"40","NT/57444/18746","PGRS"
"41","NT/59588/19145","WB"
"42","NT/58845/18142","PGRS"
"43","NT/58865/18447","PGRS"
"44","NT/57232/19534","SB"
"45","NT/59862/15876","PGRS"
"46","NT/58469/18634","WO"
"47","NT/57087/18072","WW"
"48","NT/57615/14871","PGRS"
"49","NT/57250/18454","WW"
"50","NT/56807/16163","PGRS"
"51","NT/57457/15794","PGRS"
"52","NT/58395/15543","PGRS"
"53","NT/59520/18284","PGRS"
"54","NT/59696/15904","PGRS"
"55","NT/57534/17358","PGRS"
"56","NT/57197/17823","PGRS"
"57","NT/59188/18200","PGRS"
"58","NT/57148/17068","PGRS"
"59","NT/57443/17786","PGRS"
"60","NT/59011/17349","PGRS"
"61","NT/57609/18836","PGRS"
"62","NT/57025/15534","PGRS"
"63","NT/57191/15274","PGRS"
"64","NT/57401/17003","WO"
"65","NT/58673/17908","PGRS"
"66","NT/59030/17905","PGRS"
"67","NT/59687/15315","WB"
"68","NT/59339/15000","PGRS"
"69","NT/59103/14783","WB"
"70","NT/58507/17928","PGRS"
"71","NT/57065/17302","WO"
"72","NT/58152/17684","PGRS"
"73","NT/57143/15997","PGRS"
"74","NT/59366/15377","PGRS"
"75","NT/57734/18900","PGRS"
"76","NT/57963/18983","PGRS"
"77","NT/58903/18608","PGRS"
"78","NT/57831/18970","PGRS"
"79","NT/57763/19447","PGRS"
"80","NT/59673/17217","PGRS"
"81","NT/59576/16106","WBS"
"82","NT/57582/18389","WO"
"83","NT/57105/15751","PGRS"
"84","NT/57424/16499","PGRS"
"85","NT/59415/15495","PGRS"
"86","NT/59805/16025","PGRS"
"87","NT/58489/18311","PGRS"
"88","NT/58897/17822","PGRS"
"89","NT/59350/15199","PGRS"
"90","NT/58442/19627","WPOT"
"91","NT/59384/18480","PGRS"
"92","NT/59663/16044","PGRS"
"93","NT/57937/17675","PGRS"
"94","NT/59337/16737","PGRS"
"95","NT/57656/16548","PGRS"
"96","NT/57298/17661","PGRS"
"97","NT/59742/19109","PGRS"
"98","NT/59352/15508","PGRS"
"99","NT/57080/18791","PGRS"
"100","NT/58962/19786","PGRS"
"101","NT/58366/15181","PGRS"
"102","NT/57733/18810","PGRS"
"103","NT/58462/18482","PGRS"
"104","NT/58614/19305","SB"
"105","NT/59396/18488","PGRS"
"106","NT/59024/18234","PGRS"
"107","NT/57517/18994","WOSR"
