CropName,LCTYPE ,January,February,March,April,May,June,July,August,September,October,November,December,LandSize,Notes,,,
Rough grazings,,,,,,,,,,,,,,Millions of hectares,,,,Millions of hectares
Grass >5yrs old,PGRS,,,,,,,,,,,,,Millions of hectares,,,,Hundreds of thousands of hectares
Woodland,WDG,,,,,,,,,,,,,Hundreds of thousands of hectares,,,,Tens of thousands of hectares
Spring barley,SB,,,,,,,,,,,,,Hundreds of thousands of hectares,,,,"< 10,000 hectares"
Grass <5yrs old,,,,,,,,,,,,,,Hundreds of thousands of hectares,,,V,Vegetative
Other land,,,,,,,,,,,,,,Hundreds of thousands of hectares,,,F,Flowering
Wheat,,0.00,0.00,0.25,0.50,0.75,1.00,1.00,1.00,0.00,0.00,0.00,0.00,Tens of thousands of hectares,,,M,Maturing
Winter barley,WB,,,,,,,,,,,,,Tens of thousands of hectares,,,H,Harvest
Fallow land - less than five years,FALW,,,,,,,,,,,,,Tens of thousands of hectares,,,P,Planting
Winter oilseed rape,WOSR,0.50,0.75,1.00,1.00,1.00,1.00,1.00,0.75,0.00,0.00,,,Tens of thousands of hectares,"V, V, V, F(yellow), F(yellow), F(yellow), M(brown), H(), P,P",,GS,Ground-Stored under straw
Spring oats,SO,0.00,0.25,0.50,1.00,1.00,1.00,1.00,1.00,0.50,0.00,,,Tens of thousands of hectares,,,D,Desicate
Ware potatoes,WPOT,0.00,0.00,0.00,0.25,0.75,1.00,1.00,1.00,0.75,0.75,0.50,0.00,Tens of thousands of hectares,D=Sept,,R,Rotation of crops
Seed potatoes,SPOT,0.00,0.00,0.25,0.50,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,Tens of thousands of hectares,"F(purple)=June,  F(white) = July ",,IC,"Intercropping: 2 crops in the same plot, usually large (corn) and small (mustard) growing at the same time. "
"Other crops (includes nursery stock, protected crops and unspecified crops)",,,,,,,,,,,,,,Tens of thousands of hectares,,,,
Unspecified crops,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Winter oats,WO,1.00,1.00,1.00,1.00,1.00,0.75,0.50,0.25,0.00,0.25,0.50,0.75,"< 10,000 hectares",,,,
Peas for canning,SPEAS ??,0.00,0.00,0.00,0.25,0.50,0.75,1.00,0.50,0.00,0.00,0.00,0.00,"< 10,000 hectares","Green=May-June, White=July,  F=June/July",,,
Other crops for stockfeed,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Rye,,0.00,0.00,0.25,0.50,0.75,1.00,1.00,1.00,0.00,0.00,0.00,0.00,"< 10,000 hectares",,,,
Fallow land - five years and more,FALW,,,,,,,,,,,,,"< 10,000 hectares",,,,
Turnips & swedes for stockfeed,TSF,,,,,,,,,,,,,"< 10,000 hectares",,,,
Carrots,,GS,GS,0.00,0.25,0.50,0.75,1.00,1.00,1.00,GS,GS,GS,"< 10,000 hectares",GS=Oct to Mar ,,,
Beans for combining,,0.00,0.00,0.00,0.25,0.50,0.75,1.00,0.50,0.00,0.00,0.00,0.00,"< 10,000 hectares",Same as peas,,,
Kale & cabbage for stockfeed,OCS_K,,,,,,,,,,,,,"< 10,000 hectares",,,,
Rape for stockfeed,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Beans for canning,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Plastic structures,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Calabrese,CALA,,,,,,,,,,,,,"< 10,000 hectares",,,,
Turnips & swedes,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Glasshouses: area of which is strawberries,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Triticale,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Brussels sprouts,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Other vegetables,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Maize,MAIZ,,,,,,,,,,,,,"< 10,000 hectares",,,,
Fodder beet,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Bulbs/flowers grown in the open,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Peas for combining,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Spring oilseed rape,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Cauliflower,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Cabbages and savoys,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Blackcurrants  - grown in the open,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Ornamental trees,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Mixed fruit - grown in the open,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Raspberries - grown in the open,RASP_OPEN,,,,,,,,,,,,,"< 10,000 hectares",,,,
Lettuce,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Rhubarb,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Leeks,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Glass structures,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Blueberries - Grown in the open,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Strawberries - grown in the open,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Shrubs,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Other nursery stock,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Mixed grain,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Fruit stocks,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Lupins,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Bedding plants in open,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Roses,,,,,,,,,,,,,,"< 10,000 hectares",,,,
Linseed,,,,,,,,,,,,,,"< 10,000 hectares",,,,
