Fields classed as mixed,,
,,
Count of LCTYPE=1 means the same crop has been recorded twice for a field. Exclude for time being ,,
,,
Row Labels,Sum of AREA,Count of LCTYPE
ND/08958/63442,6,1
ND/09113/63561,4,1
ND/09844/63785,5,1
ND/10741/65770,5,1
ND/10785/65578,3,1
ND/11617/63421,10,1
ND/12126/63815,10,1
ND/12195/63469,10,1
ND/12315/63245,11,1
ND/12503/63204,5,1
ND/18962/68458,5,1
ND/19613/68209,14,1
ND/20105/66095,10,1
ND/20307/67270,3,1
ND/20418/66931,9,1
ND/20583/66669,10,1
ND/20689/66458,9,1
ND/20800/66986,10,1
ND/20918/66241,8,1
ND/20988/65909,10,1
ND/21435/67232,13,1
ND/21647/65265,13,1
ND/21878/65755,7,1
ND/22255/66898,15,1
NF/76509/51881,0,1
NF/76622/50448,1,1
NH/63747/73885,0,1
NH/67527/57199,0,1
NH/68851/65748,2,1
NH/69718/64506,4,1
NH/69859/36377,2,1
NH/70592/69599,4,1
NH/80258/92142,0,1
NJ/21464/67730,0,1
NJ/26030/49266,3,1
NJ/27071/56539,4,1
NJ/27483/45346,5,1
NJ/27532/56537,3,1
NJ/28061/44677,2,1
NJ/28078/44929,2,1
NJ/28193/45269,5,1
NJ/28218/66292,4,1
NJ/28226/44392,3,1
NJ/30431/01428,0,1
NJ/31147/38109,1,1
NJ/33399/64942,8,1
NJ/33910/65219,3,1
NJ/35078/63255,5,1
HU/35136/83022,0,2
HU/37445/13421,13,2
HU/42814/28490,0,2
HY/26280/01572,1,2
HY/33529/01688,14,2
HY/34165/13186,6,2
HY/45498/11456,2,2
HY/46036/11485,3,2
HY/53310/32475,0,2
HY/53525/00294,4,2
HY/68520/04059,2,2
HY/69000/02631,6,2
HY/75244/45308,7,2
ND/09267/63685,7,2
ND/12541/63005,12,2
ND/16547/65031,0,2
ND/21169/66277,15,2
NF/70246/69742,12,2
NF/70589/69579,11,2
NF/72654/67010,15,2
NF/73192/66392,2,2
NF/73386/19850,2,2
NF/73460/18642,2,2
NF/73541/21133,20,2
NF/74084/67113,2,2
NF/74540/35488,0,2
NF/75344/36581,2,2
NF/76510/54068,2,2
NF/76914/54138,3,2
NF/79452/56241,5,2
NF/91561/83190,2,2
NH/50646/54419,14,2
NH/51593/54524,8,2
NH/52118/55312,1,2
NH/52202/46588,4,2
NH/61498/74834,10,2
NH/62540/50744,4,2
NH/63067/73662,9,2
NH/63170/39714,2,2
NH/63389/63414,9,2
NH/63473/39886,3,2
NH/64812/42773,2,2
NH/67664/56700,12,2
NH/67768/63742,7,2
NH/68541/64339,5,2
NH/68598/70958,4,2
NH/68618/57054,18,2
NH/69866/72455,14,2
NH/72077/63866,2,2
NH/72468/63877,9,2
NH/72697/73712,6,2
NH/73402/58979,11,2
NH/74065/59282,6,2
NH/81854/54276,11,2
NH/82071/54059,17,2
NH/84273/78180,20,2
NH/84858/79660,9,2
NH/85199/79061,22,2
NH/85617/52810,5,2
NH/85671/53574,10,2
NH/87483/80358,6,2
NH/99361/58779,22,2
NJ/02920/60310,25,2
NJ/02979/61237,3,2
NJ/05017/60575,30,2
NJ/06161/60051,5,2
NJ/17263/42772,4,2
NJ/17468/43196,5,2
NJ/19131/42052,4,2
NJ/19331/42026,4,2
NJ/19513/42490,7,2
NJ/26067/32739,9,2
NJ/26337/33428,6,2
NJ/28240/66059,9,2
NJ/32167/57388,2,2
NJ/33654/64891,6,2
NJ/33744/65076,4,2
NJ/34992/62421,17,2
NJ/36338/52187,3,2
NJ/37933/56109,3,2
NJ/38438/64212,4,2
NJ/41883/51881,9,2
NJ/42206/61476,6,2
NJ/42361/51766,7,2
NJ/42381/61495,2,2
NJ/42421/64418,7,2
NJ/43587/11658,16,2
NJ/43883/11687,10,2
NJ/44062/48464,6,2
NJ/44273/47432,9,2
NJ/44349/11811,8,2
NJ/44678/11794,6,2
NJ/44722/48537,12,2
NJ/45000/48786,5,2
NJ/45289/61140,8,2
NJ/45326/49994,10,2
NJ/45825/12752,8,2
NJ/45961/12669,6,2
NJ/46068/12923,2,2
NJ/46480/12830,10,2
NJ/46611/13125,4,2
NJ/48378/35718,15,2
NJ/48699/35385,4,2
NJ/48967/66116,21,2
NJ/49233/35654,14,2
NJ/49442/53834,2,2
NJ/49446/36340,18,2
NJ/49684/35666,16,2
NJ/49918/66980,24,2
NJ/49932/37146,28,2
NJ/50093/35685,12,2
NJ/50244/38138,36,2
NJ/50288/35385,10,2
NJ/50290/37380,26,2
NJ/50307/65937,4,2
NJ/50519/36511,46,2
NJ/50575/37177,24,2
NJ/52118/24115,10,2
NJ/52382/44987,2,2
NJ/52467/24738,5,2
NJ/52519/27236,8,2
NJ/52523/25117,12,2
NJ/52553/38981,18,2
NJ/52593/30906,10,2
NJ/52657/24632,6,2
NJ/52695/38540,17,2
NJ/52838/27601,14,2
NJ/52885/27464,14,2
NJ/52913/38815,6,2
NJ/52962/35501,2,2
NJ/53038/38419,9,2
NJ/53039/36459,4,2
NJ/53091/26239,16,2
NJ/53173/35485,6,2
NJ/53456/39058,11,2
NJ/53525/38546,26,2
NJ/53594/27510,20,2
NJ/53628/07709,0,2
NJ/53630/26016,8,2
NJ/53668/38917,26,2
NJ/53739/27576,8,2
NJ/53910/27811,5,2
NJ/54061/33851,24,2
NJ/54169/33436,26,2
NJ/54330/45230,13,2
NJ/54413/33757,32,2
NJ/55993/47266,19,2
NJ/56515/65843,35,2
NJ/56612/12470,18,2
NJ/56863/38848,7,2
NJ/56975/12693,12,2
NJ/56988/13022,6,2
NJ/57009/38951,7,2
NJ/57088/19214,14,2
NJ/57093/58634,24,2
NJ/57185/38165,40,2
NJ/57202/42941,16,2
NJ/57274/43251,26,2
NJ/57430/10244,16,2
NJ/57445/42859,18,2
NJ/57470/09327,20,2
NJ/57507/14655,4,2
NJ/57559/19644,9,2
NJ/57605/10789,5,2
NJ/57695/58650,25,2
NJ/57920/42455,6,2
NJ/58157/43913,18,2
NJ/58167/18256,6,2
NJ/58489/18332,19,2
NJ/58617/58768,6,2
NJ/58686/41156,20,2
NJ/58822/09107,11,2
NJ/58842/63756,24,2
NJ/58915/18610,1,2
NJ/59072/19901,8,2
NJ/59221/16377,6,2
NJ/59431/62264,6,2
NJ/59700/20430,0,2
NJ/59926/65120,59,2
NJ/60272/28325,4,2
NJ/60360/07463,2,2
NJ/60395/64241,55,2
NJ/60419/62596,24,2
NJ/60885/62693,2,2
NJ/60991/30443,17,2
NJ/61304/61974,1,2
NJ/61362/49509,10,2
NJ/61467/61214,0,2
NJ/61509/13962,12,2
NJ/61559/48978,5,2
NJ/61607/62244,12,2
NJ/61737/49438,4,2
NJ/61856/58771,11,2
NJ/61891/61535,5,2
NJ/61964/50115,6,2
NJ/62042/62540,2,2
NJ/62206/13126,16,2
NJ/62624/14012,8,2
NJ/62874/32262,1,2
NJ/63073/31115,8,2
NJ/64280/64300,19,2
NJ/64662/60060,7,2
NJ/65252/30683,10,2
NJ/65417/62462,6,2
NJ/65593/30837,11,2
NJ/65617/62432,6,2
NJ/65822/63200,20,2
NJ/65878/56194,10,2
NJ/65885/32050,10,2
NJ/66048/62176,10,2
NJ/66345/10965,6,2
NJ/66353/11140,5,2
NJ/66872/15914,30,2
NJ/66908/11938,10,2
NJ/67412/60056,8,2
NJ/67439/60668,9,2
NJ/67647/17944,12,2
NJ/67837/16495,12,2
NJ/67919/14726,13,2
NJ/67919/17211,3,2
NJ/67981/60724,9,2
NJ/68124/14542,24,2
NJ/68221/16959,24,2
NJ/68243/15736,10,2
NJ/68295/15006,10,2
NJ/68411/14801,4,2
NJ/68507/17022,8,2
NJ/68748/16881,14,2
NJ/68846/16476,30,2
NJ/68993/17131,6,2
NJ/69129/15071,8,2
NJ/69388/20708,12,2
NJ/69473/15277,12,2
NJ/69535/15071,28,2
NJ/69699/14628,10,2
NJ/69700/33493,8,2
NJ/69748/15578,66,2
NJ/69874/13832,8,2
NJ/69964/14530,38,2
NJ/70185/16239,23,2
NJ/70281/14387,5,2
NJ/70308/32071,6,2
NJ/70336/56276,21,2
NJ/70429/14152,6,2
NJ/70511/16417,22,2
NJ/70539/14433,4,2
NJ/70577/15430,12,2
NJ/70710/14098,28,2
NJ/70736/14467,3,2
NJ/70897/32944,3,2
NJ/70908/16038,10,2
NJ/70947/16641,22,2
NJ/70983/47675,13,2
NJ/71194/48085,25,2
NJ/71301/34589,16,2
NJ/71423/16233,18,2
NJ/71436/14344,10,2
NJ/71505/35491,12,2
NJ/71747/29837,13,2
NJ/71846/35344,11,2
NJ/74235/21872,13,2
NJ/74299/45736,12,2
NJ/74348/44988,18,2
NJ/74493/16106,10,2
NJ/74823/45352,5,2
NJ/75280/25175,8,2
NJ/75911/10180,16,2
NJ/75995/25061,8,2
NJ/76022/12019,14,2
NJ/76074/09876,12,2
NJ/76137/51972,35,2
NJ/76233/09981,12,2
NJ/76566/13291,8,2
NJ/76585/12581,6,2
NJ/76690/13564,8,2
NJ/76841/12176,10,2
NJ/76843/13434,14,2
NJ/76921/03616,8,2
NJ/76938/48834,10,2
NJ/76950/03319,8,2
NJ/76977/13674,4,2
NJ/77019/12671,7,2
NJ/77069/03552,12,2
NJ/77081/51658,9,2
NJ/77115/12189,10,2
NJ/77129/02325,4,2
NJ/77177/48943,16,2
NJ/77239/02635,5,2
NJ/77247/03475,5,2
NJ/77248/48002,42,2
NJ/77310/12790,4,2
NJ/77763/04332,2,2
NJ/77810/04248,2,2
NJ/77872/04357,2,2
NJ/78007/40923,14,2
NJ/78048/48900,22,2
NJ/78075/43433,10,2
NJ/78090/41927,14,2
NJ/78133/51397,18,2
NJ/78385/17353,21,2
NJ/78442/49012,38,2
NJ/78545/59237,6,2
NJ/78800/48746,26,2
NJ/78802/23250,9,2
NJ/78985/23416,4,2
NJ/79023/50241,2,2
NJ/79126/18642,8,2
NJ/79168/19367,1,2
NJ/79175/19688,12,2
NJ/79264/45132,15,2
NJ/79404/43208,19,2
NJ/79715/45125,13,2
NJ/80051/18298,3,2
NJ/80054/17808,6,2
NJ/80152/31335,10,2
NJ/80247/05729,6,2
NJ/80515/31638,8,2
NJ/80538/05480,8,2
NJ/80627/19854,6,2
NJ/80636/31052,6,2
NJ/80680/57389,4,2
NJ/80934/18518,6,2
NJ/80987/30903,1,2
NJ/81180/31489,6,2
NJ/81191/18574,6,2
NJ/81205/19748,10,2
NJ/81217/51575,4,2
NJ/81220/32162,32,2
NJ/81330/50104,7,2
NJ/81400/32859,26,2
NJ/81636/55565,17,2
NJ/81697/66070,5,2
NJ/81841/54058,10,2
NJ/81870/33937,17,2
NJ/81878/53499,13,2
NJ/81918/53873,6,2
NJ/81942/26541,20,2
NJ/82136/16348,14,2
NJ/82234/34317,7,2
NJ/82310/30720,2,2
NJ/82382/17881,12,2
NJ/82410/65942,9,2
