"Satellite","SceneDates","State","RelativeOrbit","PassDirection","TotalFoldersPerDate","CEDALocationPerDate","Comments"
"Sentinel-1B",20180101,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/01/01/",
"Sentinel-1A",20180107,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/01/07/",
"Sentinel-1B",20180113,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/01/13/",
"Sentinel-1A",20180119,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/01/19/",
"Sentinel-1B",20180125,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/01/25/",
"Sentinel-1A",20180131,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/01/31/",
"Sentinel-1B",20180206,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/02/06/",
"Sentinel-1A",20180212,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/02/12/",
"Sentinel-1B",20180218,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/02/18/",
"Sentinel-1A",20180224,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/02/24/",
"Sentinel-1B",20180302,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/03/02/",
"Sentinel-1A",20180308,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/03/08/",
"Sentinel-1B",20180314,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/03/14/",
"Sentinel-1A",20180320,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/03/20/","2 additional scenes for orbit 23 for another project"
"Sentinel-1B",20180326,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/03/26/",
"Sentinel-1B",20180407,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/04/07/",
"Sentinel-1A",20180413,"Processed",30,"Ascending",1,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/04/13/","Only 1 scene available for this orbit, see screenshot a"
"Sentinel-1B",20180419,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/04/19/",
"Sentinel-1A",20180425,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/04/25/",
"Sentinel-1B",20180501,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/05/01/",
"Sentinel-1A",20180507,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/05/07/",
"Sentinel-1B",20180513,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/05/13/",
"Sentinel-1A",20180519,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/05/19/",
"Sentinel-1B",20180525,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/05/25/",
"Sentinel-1A",20180531,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/05/31/",
"Sentinel-1B",20180606,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/06/06/",
"Sentinel-1A",20180612,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/06/12/",
"Sentinel-1B",20180618,"Processed",30,"Ascending",4,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/06/18/",
"Sentinel-1A",20180624,"Processed",30,"Ascending",3,"http://gws-access.ceda.ac.uk/public/defra_eo/sentinel/1/processed/ard/backscatter/2018/06/24/",
